id,type,readonly,group,name
0,8,0,radiotest,channel
1,0,0,radiotest,power
2,8,0,radiotest,contwave
3,8,0,activeMarker,front
4,8,0,activeMarker,back
5,8,0,activeMarker,left
6,8,0,activeMarker,right
7,8,0,activeMarker,mode
8,8,0,activeMarker,poll
9,8,1,deck,bcActiveMarker
10,8,1,deck,bcAI
11,8,1,deck,bcBuzzer
12,8,1,deck,bcFlow
13,8,1,deck,bcFlow2
14,8,1,deck,bcLedRing
15,8,1,deck,bcLighthouse4
16,8,1,deck,bcDWM1000
17,8,1,deck,bcLoco
18,8,1,deck,bcMultiranger
19,8,1,deck,bcOA
20,8,1,deck,bcUSD
21,8,1,deck,bcZRanger
22,8,1,deck,bcZRanger2
23,8,0,motion,disable
24,8,0,motion,adaptive
25,6,0,motion,flowStdFixed
26,8,0,ring,effect
27,10,1,ring,neffect
28,8,0,ring,solidRed
29,8,0,ring,solidGreen
30,8,0,ring,solidBlue
31,8,0,ring,headlightEnable
32,6,0,ring,emptyCharge
33,6,0,ring,fullCharge
34,10,0,ring,fadeColor
35,6,0,ring,fadeTime
36,8,0,system,highlight
37,8,0,system,storageStats
38,8,0,system,storageReformat
39,8,0,system,taskDump
40,0,1,system,selftestPassed
41,8,0,system,assertInfo
42,8,0,system,testLogParam
43,8,0,system,doAssert
44,8,0,loco,mode
45,6,0,tdoa2,stddev
46,6,0,tdoa3,stddev
47,9,0,multiranger,filterMask
48,8,1,usd,canLog
49,8,0,usd,logging
50,8,0,led,bitmask
51,8,0,motorPowerSet,enable
52,9,0,motorPowerSet,m1
53,9,0,motorPowerSet,m2
54,9,0,motorPowerSet,m3
55,9,0,motorPowerSet,m4
56,6,0,pm,lowVoltage
57,6,0,pm,criticalLowVoltage
58,8,1,imu_sensors,BMP3XX
59,6,0,imu_sensors,imuPhi
60,6,0,imu_sensors,imuTheta
61,6,0,imu_sensors,imuPsi
62,8,0,syslink,probe
63,8,0,usec,reset
64,8,0,colAv,enable
65,6,0,colAv,ellipsoidX
66,6,0,colAv,ellipsoidY
67,6,0,colAv,ellipsoidZ
68,6,0,colAv,bboxMinX
69,6,0,colAv,bboxMinY
70,6,0,colAv,bboxMinZ
71,6,0,colAv,bboxMaxX
72,6,0,colAv,bboxMaxY
73,6,0,colAv,bboxMaxZ
74,6,0,colAv,horizon
75,6,0,colAv,maxSpeed
76,6,0,colAv,sidestepThrsh
77,2,0,colAv,maxPeerLocAge
78,6,0,colAv,vorTol
79,2,0,colAv,vorIters
80,8,0,commander,enHighLevel
81,6,0,cppm,rateRoll
82,6,0,cppm,ratePitch
83,6,0,cppm,angPitch
84,6,0,cppm,angRoll
85,6,0,cppm,rateYaw
86,6,0,hlCommander,vtoff
87,6,0,hlCommander,vland
88,8,0,hlCommander,groupmask
89,8,0,flightmode,althold
90,8,0,flightmode,poshold
91,8,0,flightmode,posSet
92,8,0,flightmode,yawMode
93,8,0,flightmode,stabModeRoll
94,8,0,flightmode,stabModePitch
95,8,0,flightmode,stabModeYaw
96,8,0,locSrv,enRangeStreamFP32
97,8,0,locSrv,enLhAngleStream
98,8,0,locSrv,enLhMtchStm
99,8,0,locSrv,maxTimeLhMtchStm
100,8,0,locSrv,minBsLhMtchStm
101,6,0,locSrv,extPosStdDev
102,6,0,locSrv,extQuatStdDev
103,9,0,crtpsrv,echoDelay
104,8,0,health,startPropTest
105,8,0,health,startBatTest
106,6,0,health,propTestThreshold
107,9,0,health,propTestPWMRatio
108,9,0,health,batTestPWMRatio
109,6,0,kalman,maxPos
110,6,0,kalman,maxVel
111,8,0,kalman,resetEstimation
112,8,0,kalman,robustTdoa
113,8,0,kalman,robustTwr
114,6,0,kalman,pNAcc_xy
115,6,0,kalman,pNAcc_z
116,6,0,kalman,pNVel
117,6,0,kalman,pNPos
118,6,0,kalman,pNAtt
119,6,0,kalman,mNBaro
120,6,0,kalman,mNGyro_rollpitch
121,6,0,kalman,mNGyro_yaw
122,6,0,kalman,initialX
123,6,0,kalman,initialY
124,6,0,kalman,initialZ
125,6,0,kalman,initialYaw
126,8,0,memTst,resetW
127,10,0,powerDist,idleThrust
128,6,0,sensfusion6,kp
129,6,0,sensfusion6,ki
130,6,0,sensfusion6,baseZacc
131,8,0,sound,effect
132,10,1,sound,neffect
133,9,0,sound,freq
134,8,0,stabilizer,estimator
135,8,0,stabilizer,controller
136,8,0,stabilizer,stop
137,8,0,supervisor,infdmp
138,9,0,supervisor,prefltTimeout
139,9,0,supervisor,landedTimeout
140,8,0,supervisor,tmblChckEn
141,9,1,cpu,flash
142,10,1,cpu,id0
143,10,1,cpu,id1
144,10,1,cpu,id2
145,8,0,tdoaEngine,logId
146,8,0,tdoaEngine,logOthrId
147,8,0,tdoaEngine,matchAlgo
148,8,0,lighthouse,method
149,8,0,lighthouse,bsCalibReset
150,8,0,lighthouse,systemType
151,9,1,lighthouse,bsAvailable
152,6,0,lighthouse,sweepStd
153,6,0,lighthouse,sweepStd2
154,8,0,lighthouse,enLhRawStream
155,9,0,lighthouse,lh2maxRate
156,6,0,pid_attitude,roll_kp
157,6,0,pid_attitude,roll_ki
158,6,0,pid_attitude,roll_kd
159,6,0,pid_attitude,roll_kff
160,6,0,pid_attitude,pitch_kp
161,6,0,pid_attitude,pitch_ki
162,6,0,pid_attitude,pitch_kd
163,6,0,pid_attitude,pitch_kff
164,6,0,pid_attitude,yaw_kp
165,6,0,pid_attitude,yaw_ki
166,6,0,pid_attitude,yaw_kd
167,6,0,pid_attitude,yaw_kff
168,6,0,pid_attitude,yawMaxDelta
169,0,0,pid_attitude,attFiltEn
170,6,0,pid_attitude,attFiltCut
171,6,0,pid_rate,roll_kp
172,6,0,pid_rate,roll_ki
173,6,0,pid_rate,roll_kd
174,6,0,pid_rate,roll_kff
175,6,0,pid_rate,pitch_kp
176,6,0,pid_rate,pitch_ki
177,6,0,pid_rate,pitch_kd
178,6,0,pid_rate,pitch_kff
179,6,0,pid_rate,yaw_kp
180,6,0,pid_rate,yaw_ki
181,6,0,pid_rate,yaw_kd
182,6,0,pid_rate,yaw_kff
183,0,0,pid_rate,rateFiltEn
184,6,0,pid_rate,omxFiltCut
185,6,0,pid_rate,omyFiltCut
186,6,0,pid_rate,omzFiltCut
187,6,0,ctrlINDI,thrust_threshold
188,6,0,ctrlINDI,bound_ctrl_input
189,6,0,ctrlINDI,g1_p
190,6,0,ctrlINDI,g1_q
191,6,0,ctrlINDI,g1_r
192,6,0,ctrlINDI,g2
193,6,0,ctrlINDI,ref_err_p
194,6,0,ctrlINDI,ref_err_q
195,6,0,ctrlINDI,ref_err_r
196,6,0,ctrlINDI,ref_rate_p
197,6,0,ctrlINDI,ref_rate_q
198,6,0,ctrlINDI,ref_rate_r
199,6,0,ctrlINDI,act_dyn_p
200,6,0,ctrlINDI,act_dyn_q
201,6,0,ctrlINDI,act_dyn_r
202,6,0,ctrlINDI,filt_cutoff
203,6,0,ctrlINDI,filt_cutoff_r
204,8,0,ctrlINDI,outerLoopActive
205,6,0,ctrlMel,kp_xy
206,6,0,ctrlMel,kd_xy
207,6,0,ctrlMel,ki_xy
208,6,0,ctrlMel,i_range_xy
209,6,0,ctrlMel,kp_z
210,6,0,ctrlMel,kd_z
211,6,0,ctrlMel,ki_z
212,6,0,ctrlMel,i_range_z
213,6,0,ctrlMel,mass
214,6,0,ctrlMel,massThrust
215,6,0,ctrlMel,kR_xy
216,6,0,ctrlMel,kR_z
217,6,0,ctrlMel,kw_xy
218,6,0,ctrlMel,kw_z
219,6,0,ctrlMel,ki_m_xy
220,6,0,ctrlMel,ki_m_z
221,6,0,ctrlMel,kd_omega_rp
222,6,0,ctrlMel,i_range_m_xy
223,6,0,ctrlMel,i_range_m_z
224,6,0,ctrlAtt,tau_xy
225,6,0,ctrlAtt,zeta_xy
226,6,0,ctrlAtt,tau_z
227,6,0,ctrlAtt,zeta_z
228,6,0,ctrlAtt,tau_rp
229,6,0,ctrlAtt,mixing_factor
230,6,0,ctrlAtt,coll_fairness
231,6,0,posCtrlIndi,K_xi_x
232,6,0,posCtrlIndi,K_xi_y
233,6,0,posCtrlIndi,K_xi_z
234,6,0,posCtrlIndi,K_dxi_x
235,6,0,posCtrlIndi,K_dxi_y
236,6,0,posCtrlIndi,K_dxi_z
237,6,0,posCtrlIndi,pq_clamping
238,6,0,posCtlPid,xKp
239,6,0,posCtlPid,xKi
240,6,0,posCtlPid,xKd
241,6,0,posCtlPid,xKff
242,6,0,posCtlPid,yKp
243,6,0,posCtlPid,yKi
244,6,0,posCtlPid,yKd
245,6,0,posCtlPid,yKff
246,6,0,posCtlPid,zKp
247,6,0,posCtlPid,zKi
248,6,0,posCtlPid,zKd
249,6,0,posCtlPid,zKff
250,9,0,posCtlPid,thrustBase
251,9,0,posCtlPid,thrustMin
252,6,0,posCtlPid,rLimit
253,6,0,posCtlPid,pLimit
254,6,0,posCtlPid,xVelMax
255,6,0,posCtlPid,yVelMax
256,6,0,posCtlPid,zVelMax
257,6,0,velCtlPid,vxKp
258,6,0,velCtlPid,vxKi
259,6,0,velCtlPid,vxKd
260,6,0,velCtlPid,vxKFF
261,6,0,velCtlPid,vyKp
262,6,0,velCtlPid,vyKi
263,6,0,velCtlPid,vyKd
264,6,0,velCtlPid,vyKFF
265,6,0,velCtlPid,vzKp
266,6,0,velCtlPid,vzKi
267,6,0,velCtlPid,vzKd
268,6,0,velCtlPid,vzKFF
269,6,0,ctrlLee,KR_x
270,6,0,ctrlLee,KR_y
271,6,0,ctrlLee,KR_z
272,6,0,ctrlLee,KI_x
273,6,0,ctrlLee,KI_y
274,6,0,ctrlLee,KI_z
275,6,0,ctrlLee,Kw_x
276,6,0,ctrlLee,Kw_y
277,6,0,ctrlLee,Kw_z
278,6,0,ctrlLee,J_x
279,6,0,ctrlLee,J_y
280,6,0,ctrlLee,J_z
281,6,0,ctrlLee,Kpos_Px
282,6,0,ctrlLee,Kpos_Py
283,6,0,ctrlLee,Kpos_Pz
284,6,0,ctrlLee,Kpos_P_limit
285,6,0,ctrlLee,Kpos_Dx
286,6,0,ctrlLee,Kpos_Dy
287,6,0,ctrlLee,Kpos_Dz
288,6,0,ctrlLee,Kpos_D_limit
289,6,0,ctrlLee,Kpos_Ix
290,6,0,ctrlLee,Kpos_Iy
291,6,0,ctrlLee,Kpos_Iz
292,6,0,ctrlLee,Kpos_I_limit
293,6,0,ctrlLee,mass
294,6,0,posEstAlt,estAlphaAsl
295,6,0,posEstAlt,estAlphaZr
296,6,0,posEstAlt,velFactor
297,6,0,posEstAlt,velZAlpha
298,6,0,posEstAlt,vAccDeadband
299,10,1,firmware,revision0
300,9,1,firmware,revision1
301,8,1,firmware,modified
